"","country","death","cases","deaths_to_reported_ratio","estimated_reporting","factor_to_real_size","Observed_case_last_week","Predicted_True_case_last_week"
"Spain","Spain",1321,24496,"62.1% ; 95%CI [60;64.1]%","1.6% ; 95%CI [1.7;1.6]%","62.1 ; 95%CI [60;64.1]",19173,"1190204 ; 95%CI [1149931;1229837]"
"Philippines","Philippines",24,374,"52.2% ; 95%CI [36.9;67.1]%","1.9% ; 95%CI [2.7;1.5]%","52.2 ; 95%CI [36.9;67.1]",269,"14035 ; 95%CI [9938;18053]"
"United_Kingdom","United_Kingdom",231,4812,"52.1% ; 95%CI [47.4;56.9]%","1.9% ; 95%CI [2.1;1.8]%","52.1 ; 95%CI [47.4;56.9]",3878,"202216 ; 95%CI [183735;220586]"
"Italy","Italy",4594,47695,"38.1% ; 95%CI [37.2;39]%","2.6% ; 95%CI [2.7;2.6]%","38.1 ; 95%CI [37.2;39]",35828,"1364565 ; 95%CI [1333474;1395862]"
"Netherlands","Netherlands",135,3443,"26.8% ; 95%CI [23;30.9]%","3.7% ; 95%CI [4.3;3.2]%","26.8 ; 95%CI [23;30.9]",2672,"71714 ; 95%CI [61491;82671]"
"United_States_of_America","United_States_of_America",323,26314,"25.8% ; 95%CI [23.4;28.3]%","3.9% ; 95%CI [4.3;3.5]%","25.8 ; 95%CI [23.4;28.3]",23796,"613416 ; 95%CI [556242;673309]"
"France","France",552,13743,"24.4% ; 95%CI [22.6;26.2]%","4.1% ; 95%CI [4.4;3.8]%","24.4 ; 95%CI [22.6;26.2]",9960,"242841 ; 95%CI [225344;261001]"
"Iraq","Iraq",15,160,"23.1% ; 95%CI [13.5;35.2]%","4.3% ; 95%CI [7.4;2.8]%","23.1 ; 95%CI [13.5;35.2]",129,"2977 ; 95%CI [1745;4539]"
"Iran","Iran",1411,14787,"15.9% ; 95%CI [15.2;16.7]%","6.3% ; 95%CI [6.6;6]%","15.9 ; 95%CI [15.2;16.7]",7881,"125495 ; 95%CI [119535;131631]"
"Switzerland","Switzerland",55,5813,"8.6% ; 95%CI [6.5;11]%","11.7% ; 95%CI [15.3;9.1]%","8.6 ; 95%CI [6.5;11]",4718,"40482 ; 95%CI [30805;52002]"
"China","China",168,685,"7.2% ; 95%CI [6.2;8.3]%","13.9% ; 95%CI [16.2;12]%","7.2 ; 95%CI [6.2;8.3]",504,"3628 ; 95%CI [3116;4195]"
"Japan","Japan",30,591,"6.9% ; 95%CI [4.7;9.7]%","14.4% ; 95%CI [21.2;10.3]%","6.9 ; 95%CI [4.7;9.7]",266,"1843 ; 95%CI [1256;2592]"
"Germany","Germany",67,20616,"4.3% ; 95%CI [3.4;5.5]%","23.1% ; 95%CI [29.6;18.3]%","4.3 ; 95%CI [3.4;5.5]",17668,"76569 ; 95%CI [59614;96667]"
"South_Korea","South_Korea",54,1763,"0.9% ; 95%CI [0.6;1.1]%","100% ; 95%CI [100;89.2]%","1 ; 95%CI [1;1.1]",735,"735 ; 95%CI [735;824]"
