"","country","deaths_to_reported_ratio","estimated_reporting","factor_to_real_size","Observed_case_last_week","Predicted_True_case_last_week"
"Indonesia","Indonesia","57.6% ; 95%CI [49.8;65.2]%","1.7% ; 95%CI [2;1.5]%","57.6 ; 95%CI [49.8;65.2]",705,"40641 ; 95%CI [35142;45949]"
"Turkey","Turkey","56.5% ; 95%CI [49.2;63.7]%","1.8% ; 95%CI [2;1.6]%","56.5 ; 95%CI [49.2;63.7]",6455,"364995 ; 95%CI [317570;411087]"
"Spain","Spain","41.1% ; 95%CI [40.3;41.9]%","2.4% ; 95%CI [2.5;2.4]%","41.1 ; 95%CI [40.3;41.9]",47322,"1944557 ; 95%CI [1905225;1984071]"
"Algeria","Algeria","39.3% ; 95%CI [27.1;52.7]%","2.5% ; 95%CI [3.7;1.9]%","39.3 ; 95%CI [27.1;52.7]",315,"12393 ; 95%CI [8528;16596]"
"United_Kingdom","United_Kingdom","39.2% ; 95%CI [37.3;41.1]%","2.6% ; 95%CI [2.7;2.4]%","39.2 ; 95%CI [37.3;41.1]",12071,"473354 ; 95%CI [450381;496627]"
"Philippines","Philippines","31.2% ; 95%CI [24.8;38.1]%","3.2% ; 95%CI [4;2.6]%","31.2 ; 95%CI [24.8;38.1]",695,"21653 ; 95%CI [17232;26471]"
"Netherlands","Netherlands","31.1% ; 95%CI [29.1;33.2]%","3.2% ; 95%CI [3.4;3]%","31.1 ; 95%CI [29.1;33.2]",6131,"190966 ; 95%CI [178586;203683]"
"Ecuador","Ecuador","29.1% ; 95%CI [22.2;36.9]%","3.4% ; 95%CI [4.5;2.7]%","29.1 ; 95%CI [22.2;36.9]",1303,"37935 ; 95%CI [28886;48030]"
"Brazil","Brazil","26.8% ; 95%CI [22.7;31.3]%","3.7% ; 95%CI [4.4;3.2]%","26.8 ; 95%CI [22.7;31.3]",2776,"74462 ; 95%CI [62926;86903]"
"Italy","Italy","26.3% ; 95%CI [25.8;26.8]%","3.8% ; 95%CI [3.9;3.7]%","26.3 ; 95%CI [25.8;26.8]",38894,"1023137 ; 95%CI [1004578;1041861]"
"France","France","25.1% ; 95%CI [24.2;26]%","4% ; 95%CI [4.1;3.8]%","25.1 ; 95%CI [24.2;26]",23116,"580708 ; 95%CI [559881;601915]"
"Iraq","Iraq","24.8% ; 95%CI [17.7;33]%","4% ; 95%CI [5.6;3]%","24.8 ; 95%CI [17.7;33]",292,"7245 ; 95%CI [5179;9649]"
"Belgium","Belgium","23.9% ; 95%CI [21.7;26.1]%","4.2% ; 95%CI [4.6;3.8]%","23.9 ; 95%CI [21.7;26.1]",6319,"150740 ; 95%CI [137067;165080]"
"United_States_of_America","United_States_of_America","23.1% ; 95%CI [22.2;23.9]%","4.3% ; 95%CI [4.5;4.2]%","23.1 ; 95%CI [22.2;23.9]",97918,"2257530 ; 95%CI [2173824;2342901]"
