country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.175 (0.168 - 0.182),7.9% (7.0% - 8.8%),12.74 (11.35 - 14.34),97918,1520000 (1370000 - 1710000)
United_Kingdom,0.346 (0.326 - 0.365),4.0% (3.5% - 4.5%),25.12 (22.3 - 28.4),12071,300000 (268000 - 337000)
Turkey,0.271 (0.224 - 0.322),5.1% (4.1% - 6.3%),19.7 (15.87 - 24.2),6455,268000 (237000 - 305000)
Switzerland,0.066 (0.057 - 0.075),20.9% (17.5% - 25.1%),4.79 (3.98 - 5.7),7075,30500 (26700 - 34900)
Sweden,0.099 (0.08 - 0.121),13.9% (11.1% - 17.6%),7.2 (5.68 - 9.03),1701,8140 (6940 - 9540)
Spain,0.36 (0.352 - 0.369),3.8% (3.4% - 4.3%),26.21 (23.48 - 29.39),47322,1360000 (1220000 - 1520000)
South_Korea,0.065 (0.049 - 0.084),21.1% (15.9% - 28.7%),4.73 (3.49 - 6.27),686,2160 (1810 - 2590)
Portugal,0.145 (0.119 - 0.175),9.5% (7.6% - 11.9%),10.56 (8.39 - 13.18),3890,44900 (38500 - 52500)
Philippines,0.267 (0.202 - 0.338),5.1% (4.0% - 6.9%),19.43 (14.48 - 25.29),695,12400 (10200 - 15100)
Netherlands,0.305 (0.283 - 0.327),4.5% (3.9% - 5.1%),22.23 (19.48 - 25.34),6131,134000 (120000 - 151000)
Japan,0.058 (0.035 - 0.09),23.6% (14.9% - 39.7%),4.24 (2.52 - 6.69),647,2470 (1920 - 3160)
Italy,0.216 (0.211 - 0.221),6.4% (5.7% - 7.1%),15.7 (14.1 - 17.59),38894,771000 (692000 - 862000)
Iran,0.119 (0.112 - 0.126),11.5% (10.2% - 13.1%),8.68 (7.66 - 9.84),14798,137000 (123000 - 154000)
Indonesia,0.353 (0.286 - 0.424),3.9% (3.1% - 4.9%),25.63 (20.24 - 31.87),705,26000 (22400 - 30200)
Greece,0.064 (0.041 - 0.096),21.3% (14.1% - 34.2%),4.68 (2.92 - 7.1),531,3040 (2420 - 3820)
Germany,0.035 (0.031 - 0.039),39.6% (33.9% - 46.2%),2.53 (2.17 - 2.95),31084,90600 (80100 - 103000)
France,0.248 (0.238 - 0.258),5.5% (4.9% - 6.2%),18.03 (16.08 - 20.29),23116,404000 (362000 - 452000)
Denmark,0.084 (0.064 - 0.108),16.3% (12.5% - 21.9%),6.13 (4.57 - 8.01),875,3320 (2760 - 3980)
China,0.117 (0.085 - 0.154),11.8% (8.8% - 16.5%),8.49 (6.06 - 11.41),843,10000 (8550 - 11900)
Canada,0.079 (0.059 - 0.102),17.4% (13.2% - 23.6%),5.75 (4.23 - 7.57),4155,27200 (22300 - 33000)
Brazil,0.202 (0.168 - 0.239),6.8% (5.5% - 8.4%),14.68 (11.88 - 18.04),2776,56200 (48500 - 65600)
Belgium,0.227 (0.205 - 0.25),6.1% (5.2% - 7.0%),16.49 (14.23 - 19.1),6319,101000 (89700 - 115000)
