country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Belgium,6319,101182.5,89776.67499999999,115027.075,0.227,0.205,0.251,0.061,0.052,0.07
Brazil,2776,56195,48513.75,65140.125,0.201,0.167,0.239,0.068,0.056,0.084
Canada,4155,27183,22406.600000000002,32982.1,0.079,0.059,0.102,0.175,0.131,0.235
China,843,10052,8573.974999999999,11833.099999999999,0.117,0.085,0.155,0.118,0.087,0.165
Denmark,875,3315,2776,3967.0499999999993,0.085,0.065,0.109,0.162,0.124,0.218
France,23116,403282,361980.425,451686.64999999997,0.248,0.238,0.258,0.055,0.049,0.062
Germany,31084,90578,80449.95000000001,102601.1,0.035,0.031,0.039,0.396,0.34,0.46
Greece,531,3033,2427.975,3801.0249999999996,0.065,0.041,0.097,0.212,0.139,0.344
Indonesia,705,26007,22420.95,30089,0.353,0.285,0.426,0.039,0.031,0.049
Iran,14798,136901,122863.925,153654.175,0.119,0.112,0.126,0.115,0.102,0.13
Italy,38894,769598,691965.65,860441.1249999999,0.216,0.211,0.221,0.064,0.057,0.071
Japan,647,2475,1919,3160,0.058,0.035,0.09,0.236,0.151,0.404
Netherlands,6131,134083.5,119687.85,150955.175,0.305,0.284,0.328,0.045,0.039,0.051
Philippines,695,12452,10299.825,15061,0.267,0.203,0.338,0.051,0.04,0.069
Portugal,3890,44788.5,38447.875,52155.274999999994,0.145,0.119,0.175,0.095,0.076,0.119
South_Korea,686,2156,1808.975,2572,0.065,0.048,0.084,0.212,0.159,0.288
Spain,47322,1352888.5,1217237.3,1514866.35,0.36,0.352,0.369,0.038,0.034,0.043
Sweden,1701,8122,6934,9545.025,0.099,0.08,0.121,0.139,0.111,0.176
Switzerland,7075,30440.5,26740.850000000002,34919.25,0.066,0.057,0.075,0.21,0.176,0.249
Turkey,6455,268138.5,237084.875,303665.15,0.271,0.225,0.321,0.051,0.041,0.063
United_Kingdom,12071,299368.5,268269.45,336001.39999999997,0.346,0.327,0.365,0.04,0.035,0.045
United_States_of_America,97918,1521094,1367237.45,1706170.675,0.175,0.168,0.182,0.079,0.07,0.088
